Duracao,HistoricoCredito,Proposito,Valor,Investimentos,Emprego,TempoParcelamento,EstadoCivil,FiadorTerceiros,ResidenciaDesde,Idade,OutrosFinanciamentos,Habitacao,EmprestimoExistente,Profissao,Dependentes,SocioEmpresa,Estrangeiro,Status
36,5,3,2746,2,2.0,4,4,3,4.0,31,1,1.0,1,4,1,0,0,0
12,2,3,708,2,3.0,2,4,4,3.0,38,3,1.0,1,3,2,0,0,1
24,2,3,4351,1,3.0,1,1,3,4.0,48,3,1.0,1,3,1,1,0,1
12,1,2,701,2,3.0,4,4,3,2.0,32,3,1.0,2,4,1,0,0,1
15,3,3,3643,2,2.0,1,1,3,4.0,27,3,1.0,2,3,1,0,0,1
30,1,4,4249,2,5.0,4,3,3,2.0,28,3,1.0,2,1,1,0,0,0
24,2,1,1938,2,1.0,4,2,3,3.0,32,3,1.0,1,4,1,0,0,0
24,2,5,2910,2,4.0,2,4,3,1.0,34,3,2.0,1,1,1,1,0,1
18,2,3,2659,4,3.0,4,4,3,2.0,28,3,1.0,1,4,1,0,0,1
18,1,4,1028,2,3.0,4,1,3,3.0,36,3,1.0,2,4,1,0,0,1
8,1,4,3398,2,4.0,1,4,3,4.0,39,3,1.0,2,3,1,0,1,1
12,1,3,5801,1,2.0,2,4,3,4.0,49,3,3.0,1,4,1,1,0,1
24,2,4,1525,4,4.0,4,1,3,3.0,34,3,1.0,1,4,2,1,0,1
36,2,1,4473,2,2.0,4,4,3,2.0,31,3,1.0,1,4,1,0,0,1
6,2,1,1068,2,2.0,4,4,3,4.0,28,3,1.0,1,4,2,0,0,1
24,1,5,6615,2,5.0,2,4,3,4.0,75,3,2.0,2,1,1,1,0,1
18,1,2,1864,5,3.0,4,1,3,2.0,30,3,1.0,2,4,1,0,0,0
60,2,4,7408,5,1.0,4,1,3,2.0,24,3,1.0,1,1,1,0,0,0
48,1,5,11590,5,3.0,2,1,3,4.0,24,1,3.0,2,3,1,0,0,0
24,4,3,4110,2,2.0,3,4,3,4.0,23,1,3.0,2,4,2,0,0,0
6,1,3,3384,2,3.0,1,2,3,4.0,44,3,3.0,1,1,1,1,0,0
13,2,1,2101,2,1.0,2,1,4,4.0,23,3,1.0,1,3,1,0,0,1
15,2,7,1275,1,3.0,4,1,3,2.0,24,3,3.0,1,4,1,0,0,0
24,2,3,4169,2,3.0,4,4,3,4.0,28,3,1.0,1,4,1,0,0,1
10,2,3,1521,2,3.0,4,2,3,2.0,31,3,1.0,1,3,1,0,0,1
24,1,2,5743,2,1.0,2,1,3,4.0,24,3,2.0,2,4,1,1,0,1
21,2,3,3599,2,4.0,1,1,3,4.0,26,3,3.0,1,3,1,0,0,1
18,2,1,3213,3,1.0,1,3,3,3.0,25,3,3.0,1,4,1,0,0,1
18,2,6,4439,2,2.0,1,4,2,1.0,33,1,1.0,1,1,1,1,0,1
10,2,4,3949,2,1.0,1,4,4,1.0,37,3,1.0,1,3,2,0,0,1
15,1,1,1459,2,3.0,4,1,3,2.0,43,3,1.0,1,3,1,0,0,1
13,1,1,882,2,1.0,4,4,4,4.0,23,3,1.0,2,4,1,0,0,1
24,2,1,3758,3,5.0,1,1,3,4.0,23,3,3.0,1,2,1,0,0,1
6,3,6,1743,5,3.0,1,4,3,2.0,34,3,1.0,2,3,1,0,0,1
9,2,7,1236,2,1.0,1,1,3,4.0,23,3,3.0,1,4,1,1,0,1
9,2,3,959,2,3.0,1,1,3,2.0,29,3,1.0,1,4,1,0,1,0
18,1,5,3229,1,5.0,2,4,3,4.0,38,3,1.0,1,1,1,1,0,1
12,4,1,6199,2,3.0,4,4,3,2.0,28,3,3.0,2,4,1,1,0,0
10,2,2,727,3,2.0,4,4,3,4.0,46,3,2.0,1,4,1,1,0,1
12,1,1,2331,1,2.0,1,4,2,4.0,49,3,1.0,1,4,1,1,0,1
36,3,1,4463,2,3.0,4,4,3,2.0,26,3,1.0,2,1,1,1,0,0
12,2,1,776,2,3.0,4,3,3,2.0,28,3,1.0,1,4,1,0,0,1
30,2,3,2406,2,4.0,4,1,3,4.0,23,3,3.0,1,4,1,0,0,0
18,2,2,1239,1,3.0,4,4,3,4.0,61,3,2.0,1,4,1,0,0,1
12,2,1,3399,1,2.0,2,4,3,3.0,37,3,1.0,1,1,1,0,0,1
12,3,4,2247,2,3.0,2,1,3,2.0,36,2,1.0,2,4,1,1,0,1
6,2,3,1766,2,3.0,1,3,3,2.0,21,3,3.0,1,4,1,0,0,1
18,2,3,2473,2,5.0,4,4,3,1.0,25,3,1.0,1,2,1,0,0,0
12,2,6,1542,2,4.0,2,4,3,4.0,36,3,1.0,1,4,1,1,0,1
18,1,5,3850,2,4.0,3,4,3,1.0,27,3,1.0,2,4,1,0,0,1
18,2,3,3650,2,1.0,1,1,3,4.0,22,3,3.0,1,4,1,0,0,1
36,2,3,3446,2,2.0,4,4,3,2.0,42,3,1.0,1,4,2,0,0,0
18,2,3,3001,2,4.0,2,1,3,4.0,40,3,3.0,1,4,1,0,0,1
36,2,4,3079,1,3.0,4,4,3,4.0,36,3,1.0,1,4,1,0,0,1
18,1,1,6070,2,2.0,3,4,3,4.0,33,3,1.0,2,4,1,1,0,1
10,1,3,2146,2,1.0,1,1,3,3.0,23,3,3.0,2,4,1,0,0,1
60,1,4,13756,1,2.0,2,4,3,4.0,63,1,2.0,1,1,1,1,0,1
60,5,9,14782,5,2.0,3,1,3,4.0,60,1,2.0,2,1,1,1,0,0
48,5,6,7685,2,4.0,2,1,4,4.0,37,3,3.0,1,4,1,0,0,0
18,3,1,2320,2,5.0,2,3,3,3.0,34,3,1.0,2,4,1,0,0,1
7,3,1,846,1,2.0,3,4,3,4.0,36,3,2.0,1,4,1,0,0,1
36,2,4,14318,2,2.0,4,4,3,2.0,57,3,2.0,1,1,1,1,0,0
6,1,4,362,5,3.0,4,1,3,4.0,52,3,1.0,2,3,1,0,0,1
20,2,3,2212,1,4.0,4,4,3,4.0,39,3,1.0,1,4,1,1,0,1
18,2,5,12976,2,5.0,3,1,3,4.0,38,3,2.0,1,1,1,1,0,0
22,2,4,1283,1,4.0,4,1,3,4.0,25,3,3.0,1,4,1,0,0,1
12,2,4,1330,2,1.0,4,4,3,1.0,26,3,1.0,1,4,1,0,0,1
30,3,6,4272,5,3.0,2,4,3,2.0,26,3,1.0,2,3,1,0,0,1
18,1,1,2238,2,3.0,2,1,3,1.0,25,3,1.0,2,4,1,0,0,1
18,2,1,1126,1,1.0,4,1,3,2.0,21,3,3.0,1,4,1,1,0,1
18,1,3,7374,2,5.0,4,4,3,4.0,40,2,1.0,2,1,1,1,0,1
15,1,6,2326,3,3.0,2,4,3,4.0,27,1,1.0,1,4,1,0,0,1
9,2,6,1449,2,4.0,3,1,3,2.0,27,3,1.0,2,4,1,0,0,1
18,2,4,1820,2,3.0,2,3,3,2.0,30,3,1.0,1,1,1,1,0,1
12,2,3,983,4,1.0,1,1,3,4.0,19,3,3.0,1,3,1,0,0,1
36,2,4,3249,2,4.0,2,4,3,4.0,39,1,2.0,1,1,2,1,0,1
6,1,1,1957,2,4.0,1,1,3,4.0,31,3,1.0,1,4,1,0,0,1
12,2,3,2578,2,5.0,3,1,3,4.0,55,3,2.0,1,1,1,0,0,1
36,1,3,2348,2,3.0,3,3,3,2.0,46,3,1.0,2,4,1,1,0,1
12,2,4,1223,2,2.0,1,2,3,1.0,46,3,3.0,2,4,1,0,0,0
24,1,1,1516,4,3.0,4,1,3,1.0,43,3,1.0,2,3,1,0,0,1
18,2,1,1473,2,1.0,3,3,3,4.0,39,3,1.0,1,4,1,1,0,1
18,1,6,1887,1,3.0,4,3,3,4.0,28,1,1.0,2,4,1,0,0,1
24,3,6,8648,2,1.0,2,4,3,2.0,27,1,1.0,2,4,1,1,0,0
14,3,4,802,2,3.0,4,4,3,2.0,27,3,1.0,2,3,1,0,0,1
18,3,4,2899,1,2.0,4,4,3,4.0,43,3,1.0,1,4,2,0,0,1
24,2,1,2039,2,1.0,1,3,3,1.0,22,3,1.0,1,4,1,1,0,0
24,1,5,2197,1,4.0,4,4,3,4.0,43,3,1.0,2,4,2,1,0,1
15,2,1,1053,2,1.0,4,3,3,2.0,27,3,1.0,1,4,1,0,1,1
24,2,1,3235,3,2.0,3,2,3,2.0,26,3,1.0,1,1,1,1,0,1
12,1,4,939,3,4.0,4,3,3,2.0,28,3,1.0,3,4,1,1,0,0
24,2,1,1967,2,2.0,4,1,3,4.0,20,3,1.0,1,4,1,1,0,1
12,1,6,2292,2,5.0,4,4,3,2.0,42,2,1.0,2,1,1,1,0,0
10,2,4,1597,3,3.0,3,4,3,2.0,40,3,3.0,1,3,2,0,1,1
24,2,4,1381,1,3.0,4,1,3,2.0,35,3,1.0,1,4,1,0,0,0
36,1,5,5842,2,2.0,2,4,3,2.0,35,3,1.0,2,4,2,1,0,1
12,2,4,2579,2,1.0,4,4,3,1.0,33,3,1.0,1,3,2,0,0,0
18,3,2,8471,1,3.0,1,1,3,2.0,23,3,3.0,2,4,1,1,0,1
21,2,4,2782,3,4.0,1,1,3,2.0,31,1,1.0,1,1,1,0,0,1
18,2,4,1042,1,3.0,4,1,3,2.0,33,3,1.0,1,4,1,0,0,0
9,0,3,2406,2,5.0,2,4,3,3.0,31,3,1.0,1,1,1,0,0,1
33,1,5,7253,2,4.0,3,4,3,2.0,35,3,1.0,2,999,1,1,0,1
15,2,4,3186,4,4.0,2,1,3,3.0,20,3,3.0,1,4,1,0,0,1
12,2,5,2028,1,3.0,4,4,3,2.0,30,3,1.0,1,4,1,0,0,1
12,1,4,958,2,4.0,2,4,3,3.0,47,3,1.0,2,3,2,0,0,1
21,3,3,1591,5,4.0,4,4,3,3.0,34,3,1.0,2,1,1,0,0,1
12,2,3,2762,1,2.0,1,1,3,2.0,25,1,1.0,1,4,1,1,0,0
18,2,5,2779,2,3.0,1,3,3,3.0,21,3,3.0,1,4,1,1,0,1
28,1,1,2743,2,2.0,4,4,3,2.0,29,3,1.0,2,4,1,0,0,1
18,1,1,1149,4,3.0,4,4,3,3.0,46,3,1.0,2,4,1,0,0,1
9,2,3,1313,2,2.0,1,4,3,4.0,20,3,1.0,1,4,1,0,0,1
18,1,8,1190,2,5.0,2,1,3,4.0,55,3,2.0,3,2,2,0,0,0
5,2,6,3448,2,4.0,1,4,3,4.0,74,3,1.0,1,3,1,0,0,1
24,2,9,11328,2,3.0,2,4,2,3.0,29,1,1.0,2,1,1,1,0,0
6,1,3,1872,2,5.0,4,4,3,4.0,36,3,2.0,3,1,1,1,0,1
24,1,8,2058,2,3.0,4,2,3,2.0,33,3,1.0,2,4,1,1,0,1
9,2,3,2136,2,3.0,3,4,3,2.0,25,3,1.0,1,4,1,0,0,1
12,2,1,1484,1,3.0,2,3,3,1.0,25,3,1.0,1,4,1,1,0,0
6,2,8,660,3,4.0,2,3,3,4.0,23,3,3.0,1,3,1,0,0,1
24,1,4,1287,4,2.0,4,1,3,4.0,37,3,1.0,2,4,1,1,0,1
42,1,8,3394,2,5.0,4,4,2,4.0,65,3,1.0,2,2,1,0,0,1
12,5,6,609,2,1.0,4,1,3,1.0,26,3,1.0,1,2,1,0,0,0
12,2,4,1884,2,2.0,4,4,3,4.0,39,3,1.0,1,1,1,1,0,1
12,2,3,1620,2,3.0,2,1,2,3.0,30,3,1.0,1,4,1,0,0,1
20,3,9,2629,2,3.0,2,4,3,3.0,29,1,1.0,2,4,1,1,0,1
12,2,2,719,2,2.0,4,4,3,4.0,41,1,1.0,1,3,2,0,0,0
48,1,3,5096,2,3.0,2,1,3,3.0,30,3,1.0,1,1,1,1,0,0
9,1,2,1244,1,2.0,4,1,3,4.0,41,3,3.0,2,3,1,0,0,1
36,2,4,1842,2,1.0,4,1,3,4.0,34,3,1.0,1,4,1,1,0,0
7,2,1,2576,2,3.0,2,4,4,2.0,35,3,1.0,1,4,1,0,0,1
12,2,3,1424,1,2.0,3,1,3,4.0,55,3,1.0,1,1,1,1,0,1
15,3,8,1512,4,3.0,3,3,3,3.0,61,2,1.0,2,4,1,0,0,0
36,1,5,11054,1,3.0,4,4,3,2.0,30,3,1.0,1,1,1,1,0,1
6,2,1,518,2,3.0,3,1,3,1.0,29,3,1.0,1,4,1,0,0,1
12,4,3,2759,2,2.0,2,4,3,4.0,34,3,1.0,2,4,1,0,0,1
24,2,5,2670,2,2.0,4,4,3,4.0,35,3,1.0,1,1,1,1,0,1
24,2,4,4817,2,4.0,2,4,2,3.0,31,3,1.0,1,4,1,1,0,0
24,2,5,2679,2,1.0,4,1,3,1.0,29,3,1.0,1,1,1,1,0,1
11,1,4,3905,2,3.0,2,4,3,2.0,36,3,3.0,2,4,2,0,0,1
12,2,5,3386,2,2.0,3,4,3,4.0,35,3,2.0,1,4,1,1,0,0
6,2,7,343,2,1.0,4,1,3,1.0,27,3,1.0,1,4,1,0,0,1
18,2,1,4594,2,1.0,3,4,3,2.0,32,3,1.0,1,4,1,1,0,1
36,2,3,3620,2,3.0,1,4,4,2.0,37,3,1.0,1,4,2,0,0,1
15,2,4,1721,2,1.0,2,4,3,3.0,36,3,1.0,1,4,1,0,0,1
12,2,3,3017,2,1.0,3,1,3,1.0,34,3,3.0,1,1,1,0,0,1
12,2,10,754,1,2.0,4,4,3,4.0,38,3,1.0,2,4,1,0,0,1
18,2,6,1950,2,4.0,4,4,3,1.0,34,2,1.0,2,4,1,1,0,1
24,2,5,2924,2,3.0,3,4,4,4.0,63,1,1.0,1,4,2,1,0,1
24,3,1,1659,2,1.0,4,1,3,2.0,29,3,3.0,1,3,1,1,0,0
48,3,1,7238,1,2.0,3,4,3,3.0,32,1,1.0,2,4,2,0,0,1
33,3,6,2764,2,3.0,2,1,3,2.0,26,3,1.0,2,4,1,1,0,1
24,3,5,4679,2,4.0,3,4,3,3.0,35,3,1.0,2,3,1,1,0,1
24,2,1,3092,5,1.0,3,3,3,2.0,22,3,3.0,1,4,1,1,0,0
6,2,2,448,2,1.0,4,1,3,4.0,23,3,1.0,1,4,1,0,0,0
9,2,4,654,2,3.0,4,4,3,3.0,28,3,1.0,1,3,1,0,0,0
18,1,1,1245,2,3.0,4,3,3,2.0,33,3,1.0,1,4,1,0,0,0
18,4,3,3114,2,1.0,1,1,3,4.0,26,3,3.0,1,4,1,0,0,0
39,2,5,2569,3,3.0,4,4,3,4.0,24,3,1.0,1,4,1,0,0,1
24,2,1,5152,2,4.0,4,4,3,2.0,25,1,1.0,1,4,1,0,0,1
12,2,6,1037,5,4.0,3,4,3,4.0,39,3,1.0,1,3,1,0,0,1
15,1,3,1478,2,2.0,4,4,3,4.0,44,3,1.0,2,4,2,1,0,1
12,1,1,3573,2,3.0,1,1,3,1.0,23,3,1.0,1,3,1,0,0,1
24,2,4,1201,2,1.0,4,4,3,1.0,26,3,1.0,1,4,1,0,0,1
30,2,3,3622,4,2.0,4,1,3,4.0,57,3,3.0,2,4,1,1,0,1
15,3,3,960,4,4.0,3,1,3,2.0,30,3,1.0,2,4,1,0,0,1
12,1,4,1163,3,3.0,4,4,3,4.0,44,3,1.0,1,4,1,1,0,1
6,3,4,1209,2,5.0,4,4,3,4.0,47,3,1.0,1,1,1,1,0,0
12,2,1,3077,2,3.0,2,4,3,4.0,52,3,1.0,1,4,1,1,0,1
24,2,4,3757,2,2.0,4,1,2,4.0,62,3,2.0,1,4,1,1,0,1
10,2,4,1418,5,3.0,3,4,3,2.0,35,3,3.0,1,3,1,0,1,1
6,2,4,3518,2,3.0,2,4,4,3.0,26,3,3.0,1,4,1,0,0,1
12,1,1,1934,2,2.0,2,4,3,2.0,26,3,1.0,2,4,1,0,0,1
27,4,6,8318,2,2.0,2,1,3,4.0,42,3,2.0,2,1,1,1,0,0
6,1,1,1237,5,3.0,1,1,3,1.0,27,3,1.0,2,4,1,0,0,1
6,2,1,368,1,2.0,4,4,3,4.0,38,3,1.0,1,4,1,0,0,1
12,1,4,2122,2,3.0,3,4,3,2.0,39,3,3.0,2,3,2,0,1,1
24,2,3,2996,1,3.0,2,3,3,4.0,20,3,1.0,1,4,1,0,0,0
36,2,3,9034,5,1.0,4,4,2,1.0,29,3,3.0,1,1,1,1,0,0
24,1,3,1585,2,4.0,4,4,3,3.0,40,3,1.0,2,4,1,0,0,1
6,1,4,1323,5,2.0,2,2,3,4.0,28,3,1.0,2,4,2,1,0,1
24,2,4,3123,2,1.0,4,1,3,1.0,27,3,1.0,1,4,1,0,0,0
36,2,5,5493,2,2.0,2,4,3,4.0,42,3,2.0,1,4,2,0,0,1
9,2,1,1126,5,2.0,2,2,3,4.0,49,3,1.0,1,4,1,0,0,1
24,1,1,1216,5,1.0,4,4,3,4.0,38,1,1.0,2,4,2,0,0,0
10,2,4,1309,1,3.0,4,4,4,4.0,27,3,1.0,1,3,1,0,0,0
15,1,5,2360,3,3.0,2,4,3,2.0,36,3,1.0,1,4,1,1,0,1
15,5,4,6850,5,5.0,1,4,3,2.0,34,3,1.0,1,1,2,1,0,0
24,2,1,1413,2,3.0,4,3,3,2.0,28,3,1.0,1,4,1,0,0,1
39,2,5,8588,5,2.0,4,4,3,2.0,45,3,1.0,1,1,1,1,0,1
12,2,4,759,2,4.0,4,4,3,2.0,26,3,1.0,1,4,1,0,0,0
36,2,5,4686,2,3.0,2,4,3,2.0,32,3,2.0,1,1,1,1,0,1
15,2,6,2687,2,4.0,2,4,3,4.0,26,3,3.0,1,4,1,1,0,1
12,3,1,585,2,3.0,4,3,3,4.0,20,3,3.0,2,4,1,0,0,1
24,2,4,2255,1,1.0,4,4,3,1.0,54,3,1.0,1,4,1,0,0,1
6,1,4,609,2,4.0,4,1,3,3.0,37,3,1.0,2,4,1,0,1,1
6,1,4,1361,2,1.0,2,4,3,4.0,40,3,1.0,1,3,2,0,1,1
36,1,3,7127,2,1.0,2,1,3,4.0,23,3,3.0,2,4,1,1,0,0
6,2,4,1203,5,2.0,3,4,3,2.0,43,3,1.0,1,4,1,1,0,1
6,1,1,700,1,2.0,4,4,3,4.0,36,3,2.0,2,4,1,0,0,1
24,1,8,5507,2,2.0,3,4,3,4.0,44,3,2.0,2,4,1,0,0,1
18,2,1,3190,2,3.0,2,1,3,2.0,24,3,1.0,1,4,1,0,0,0
48,4,3,7119,2,3.0,3,4,3,4.0,53,3,2.0,2,4,2,0,0,0
24,2,5,3488,5,4.0,3,1,3,4.0,23,3,1.0,1,4,1,0,0,1
18,2,1,1113,2,3.0,4,1,4,4.0,26,3,1.0,1,3,2,0,0,1
26,2,5,7966,2,1.0,2,4,3,3.0,30,3,1.0,2,4,1,0,0,1
15,1,2,1532,5,3.0,4,1,3,3.0,31,3,1.0,1,4,1,0,0,1
4,1,1,1503,2,4.0,2,4,3,1.0,42,3,1.0,2,3,2,0,0,1
36,2,1,2302,2,3.0,4,2,3,4.0,31,3,3.0,1,4,1,0,0,0
6,2,4,662,2,1.0,3,4,3,4.0,41,3,1.0,1,3,2,1,0,1
36,2,2,2273,2,4.0,3,4,3,1.0,32,3,1.0,2,4,2,0,0,1
15,2,4,2631,5,3.0,2,1,3,4.0,28,3,3.0,2,4,1,1,0,0
12,3,5,1503,2,3.0,4,3,3,4.0,41,3,3.0,1,4,1,0,0,1
24,2,1,1311,5,4.0,4,3,3,3.0,26,3,1.0,1,4,1,1,0,1
24,2,1,3105,1,1.0,4,4,3,2.0,25,3,1.0,2,4,1,0,0,1
21,1,2,2319,2,1.0,2,2,3,1.0,33,3,3.0,1,4,1,0,0,0
6,2,4,1374,1,5.0,4,1,3,3.0,75,3,1.0,1,1,1,1,0,1
18,1,3,3612,2,2.0,3,1,3,4.0,37,3,1.0,1,4,1,1,0,1
48,2,4,7763,2,2.0,4,4,3,4.0,42,1,2.0,1,1,1,0,0,0
18,2,3,3049,2,1.0,1,1,3,1.0,45,2,1.0,1,3,1,0,0,1
12,2,1,1534,2,1.0,1,3,3,1.0,23,3,3.0,1,4,1,0,0,0
24,3,4,2032,2,2.0,4,4,3,4.0,60,3,2.0,2,4,1,1,0,1
30,2,3,6350,1,2.0,4,4,3,4.0,31,3,1.0,1,4,1,0,0,0
18,2,3,2864,2,3.0,2,4,3,1.0,34,3,1.0,1,3,2,0,0,0
12,1,4,1255,2,2.0,4,4,3,4.0,61,3,1.0,2,3,1,0,0,1
24,3,4,1333,2,5.0,4,4,3,2.0,43,3,2.0,2,4,2,0,0,0
24,1,4,2022,2,3.0,4,1,3,4.0,37,3,1.0,1,4,1,1,0,1
24,2,1,1552,2,4.0,3,4,3,1.0,32,1,1.0,1,4,2,0,0,1
12,5,1,626,2,3.0,4,1,3,4.0,24,1,1.0,1,3,1,0,0,0
48,1,5,8858,1,4.0,2,4,3,1.0,35,3,2.0,2,4,1,1,0,1
12,1,8,996,1,4.0,4,1,3,4.0,23,3,1.0,2,4,1,0,0,1
6,5,1,1750,3,2.0,2,4,3,4.0,45,1,1.0,1,3,2,0,0,1
48,2,1,6999,2,4.0,1,3,4,1.0,34,3,1.0,2,4,1,1,0,0
12,1,4,1995,5,1.0,4,4,3,1.0,27,3,1.0,1,4,1,0,0,1
9,2,2,1199,2,4.0,4,1,3,4.0,67,3,1.0,2,1,1,1,0,1
12,2,1,1331,2,1.0,2,4,3,1.0,22,2,1.0,1,4,1,0,0,0
18,4,4,2278,5,1.0,3,1,3,3.0,28,3,1.0,2,4,1,0,0,0
21,4,4,5003,1,3.0,1,1,3,4.0,29,1,1.0,2,4,1,1,0,0
24,5,3,3552,2,4.0,3,4,3,4.0,27,1,1.0,1,4,1,0,0,0
18,1,3,1928,2,1.0,2,4,3,2.0,31,3,1.0,2,3,1,0,0,0
24,2,5,2964,1,2.0,4,4,3,4.0,49,1,2.0,1,4,2,1,0,1
24,5,1,1546,2,4.0,4,4,4,4.0,24,1,3.0,1,3,1,0,0,0
6,3,1,683,2,1.0,2,1,3,1.0,29,1,1.0,1,4,1,0,0,1
36,2,4,12389,1,3.0,1,4,3,4.0,37,3,2.0,1,4,1,1,0,0
24,3,1,1553,5,4.0,3,1,3,2.0,23,3,3.0,2,4,1,1,0,1
12,2,4,1372,2,4.0,2,2,3,3.0,36,3,1.0,1,4,1,0,0,0
24,1,1,2578,4,2.0,2,4,3,2.0,34,3,1.0,1,4,1,0,0,1
48,2,1,3979,1,4.0,4,4,3,1.0,41,3,1.0,2,4,2,1,0,1
48,2,1,6758,2,3.0,3,1,3,2.0,31,3,1.0,1,4,1,1,0,0
24,2,3,3234,2,1.0,4,1,3,4.0,23,3,3.0,1,3,1,1,0,0
30,1,1,5954,2,4.0,3,4,2,2.0,38,3,1.0,1,4,1,0,0,1
24,2,5,5433,1,5.0,2,1,3,4.0,26,3,3.0,1,1,1,1,0,1
15,2,6,806,2,3.0,4,1,3,4.0,22,3,1.0,1,3,1,0,0,1
9,2,1,1082,2,2.0,4,4,3,4.0,27,3,1.0,2,3,1,0,0,1
15,1,3,2788,2,4.0,2,1,2,3.0,24,1,1.0,2,4,1,0,0,1
12,2,1,2930,2,4.0,2,1,3,1.0,27,3,1.0,1,4,1,0,0,1
24,1,2,1927,1,3.0,3,1,3,2.0,33,3,1.0,2,4,1,1,0,1
36,1,4,2820,2,1.0,4,2,3,4.0,27,3,1.0,2,4,1,0,0,0
24,2,10,937,2,1.0,4,3,3,3.0,27,3,1.0,2,3,1,0,0,1
18,1,4,1056,2,2.0,3,4,4,3.0,30,1,1.0,2,4,1,0,0,0
12,1,4,3124,2,1.0,1,4,3,3.0,49,1,1.0,2,3,2,0,0,1
9,2,3,1388,2,3.0,4,1,3,2.0,26,3,3.0,1,4,1,0,0,1
36,2,8,2384,2,1.0,4,4,3,1.0,33,3,3.0,1,3,1,0,0,0
12,2,4,2133,1,2.0,4,1,3,4.0,52,3,2.0,1,1,1,1,0,1
18,2,3,2039,2,3.0,1,1,3,4.0,20,1,3.0,1,4,1,0,0,0
9,1,4,2799,2,3.0,2,4,3,2.0,36,3,3.0,2,4,2,0,0,1
12,2,3,1289,2,3.0,4,4,4,1.0,21,3,1.0,1,3,1,0,0,1
18,2,7,1217,2,3.0,4,3,3,3.0,47,3,1.0,1,3,1,1,0,0
12,1,3,2246,2,2.0,3,4,3,3.0,60,3,1.0,2,4,1,0,0,0
12,1,1,385,2,4.0,4,1,3,3.0,58,3,1.0,4,3,1,1,0,1
24,3,4,1965,1,3.0,4,1,3,4.0,42,3,3.0,2,4,1,1,0,1
21,2,6,1572,4,2.0,4,1,3,4.0,36,1,1.0,1,3,1,0,0,1
24,2,4,2718,2,3.0,3,1,3,4.0,20,3,3.0,1,3,1,1,0,0
24,5,9,1358,1,2.0,4,4,3,3.0,40,2,1.0,1,1,1,1,0,0
6,5,4,931,5,1.0,1,1,3,1.0,32,2,1.0,1,3,1,0,0,0
24,2,4,1442,2,4.0,4,1,3,4.0,23,3,3.0,2,4,1,0,0,0
24,4,6,4241,2,3.0,1,4,3,4.0,36,3,1.0,3,3,1,1,0,0
18,1,4,2775,2,4.0,2,4,3,2.0,31,1,1.0,2,4,1,0,0,0
24,3,6,3863,2,3.0,1,4,3,2.0,32,3,2.0,1,4,1,0,0,1
7,2,1,2329,2,1.0,1,1,4,1.0,45,3,1.0,1,4,1,0,0,1
9,2,3,918,2,3.0,4,1,3,1.0,30,3,1.0,1,4,1,0,0,0
24,5,2,1837,2,4.0,4,1,3,4.0,34,1,2.0,1,3,1,0,0,0
36,2,3,3349,2,3.0,4,1,3,2.0,28,3,1.0,1,1,1,1,0,0
10,2,3,1275,2,1.0,4,1,3,2.0,23,3,1.0,1,4,1,0,0,1
24,5,3,2828,3,3.0,4,4,3,4.0,22,2,1.0,1,4,1,1,0,1
24,1,6,4526,2,3.0,3,4,3,2.0,74,3,1.0,1,1,1,1,0,1
36,2,1,2671,5,3.0,4,1,2,4.0,50,3,2.0,1,4,1,0,0,0
18,2,1,2051,2,1.0,4,4,3,1.0,33,3,1.0,1,4,1,0,0,1
15,2,5,1300,1,2.0,4,4,3,4.0,45,1,2.0,1,4,2,0,0,1
12,2,7,741,5,5.0,4,1,3,3.0,22,3,1.0,1,4,1,0,0,0
10,2,4,1240,5,2.0,1,1,3,4.0,48,3,2.0,1,3,2,0,0,0
21,2,1,3357,4,1.0,4,1,3,2.0,29,1,1.0,1,4,1,0,0,1
24,5,5,3632,2,3.0,1,1,4,4.0,22,1,3.0,1,4,1,0,1,1
18,3,3,1808,2,4.0,4,1,3,1.0,22,3,1.0,1,4,1,0,0,0
48,4,6,12204,1,3.0,2,4,3,2.0,48,1,1.0,1,1,1,1,0,1
60,3,1,9157,1,3.0,2,4,3,2.0,27,3,2.0,1,1,1,0,0,1
6,1,4,3676,2,3.0,1,4,3,3.0,37,3,3.0,3,4,2,0,0,1
30,2,3,3441,5,3.0,2,1,2,4.0,21,3,3.0,1,4,1,0,0,0
12,2,4,640,2,3.0,4,2,3,2.0,49,3,1.0,1,3,1,0,0,1
21,1,6,3652,2,4.0,2,4,3,3.0,27,3,1.0,2,4,1,0,0,1
18,1,4,1530,2,3.0,3,4,3,2.0,32,1,1.0,2,4,1,0,0,0
48,2,6,3914,1,3.0,4,2,3,2.0,38,1,1.0,1,4,1,0,0,0
12,2,3,1858,2,1.0,4,1,3,1.0,22,3,3.0,1,4,1,0,0,1
18,2,1,2600,2,3.0,4,4,3,4.0,65,3,2.0,2,4,1,0,0,0
15,2,1,1979,1,2.0,4,4,3,2.0,35,3,1.0,1,4,1,0,0,1
6,2,3,2116,2,3.0,2,4,3,2.0,41,3,1.0,1,4,1,1,0,1
9,5,4,1437,5,4.0,2,4,3,3.0,29,3,1.0,1,4,1,0,0,0
42,1,3,4042,3,3.0,4,4,3,4.0,36,3,1.0,2,4,1,1,0,1
9,2,2,3832,1,2.0,1,4,3,4.0,64,3,1.0,1,3,1,0,0,1
